utc,last_modified,preset,n,dist,dist2,mode,bright,px,pxlo,edge,blob,blob2,bw,bh,fill,dom,dom2,cx,cy,bpk,bsat,bact,nblobs,blocks,vetoed,veto30,hit,bytes
2026-09-04 12:43:14,"Fri, 04 Sep 2026 12:43:02 GMT",3,257,4.0,14.4,day,166.5,13475,33886,12.56,132,61,25,18,0.29,0.18,0.23,0.31,0.652,253,0.03,0.365,165,719,104,562,0,268772
2026-09-04 12:43:52,"Fri, 04 Sep 2026 12:43:46 GMT",109,120,5.5,18.0,day,135.7,9786,25091,11.31,120,90,31,10,0.39,0.21,0.23,0.395,0.708,229,0.0,0.129,70,575,96,297,0,220201
2026-09-04 12:44:04,"Fri, 04 Sep 2026 12:44:02 GMT",31,69,8.8,11.8,day,123.4,7585,27954,9.9,121,78,19,20,0.32,0.24,0.27,0.777,0.19,255,0.34,0.355,73,511,19,315,0,202606
2026-09-04 12:44:54,"Fri, 04 Sep 2026 12:44:47 GMT",98,128,3.9,30.1,day,125.9,10657,30853,9.46,17,13,9,4,0.47,0.04,0.07,0.421,0.58,254,0.12,0.483,165,401,287,631,0,169739
2026-09-04 12:45:07,"Fri, 04 Sep 2026 12:45:01 GMT",98,129,2.5,29.4,day,122.1,10418,30263,14.21,19,14,11,5,0.35,0.06,0.11,0.919,0.458,238,0.0,0.441,153,321,273,564,0,281689
2026-09-04 12:45:57,"Fri, 04 Sep 2026 12:45:46 GMT",0,335,9.6,22.4,day,167.5,14667,44882,12.0,285,127,38,29,0.26,0.3,0.34,0.15,0.539,250,0.01,0.205,131,956,86,522,0,259596
2026-09-04 12:46:10,"Fri, 04 Sep 2026 12:46:02 GMT",100,140,7.0,21.4,day,177.1,17509,35955,13.61,283,224,32,22,0.4,0.26,0.28,0.143,0.69,252,0.02,0.308,112,1082,284,935,0,266620
2026-09-04 12:56:15,"Fri, 04 Sep 2026 12:56:01 GMT",138,2,2.6,13.2,day,173.7,19506,37907,11.35,413,373,53,24,0.32,0.26,0.28,0.782,0.628,251,0.18,0.06,100,1567,0,0,0,250917
2026-09-04 12:56:53,"Fri, 04 Sep 2026 12:56:46 GMT",25,355,5.0,26.3,day,135.9,20202,44257,12.09,191,170,40,13,0.37,0.14,0.16,0.187,0.53,243,0.0,0.286,194,1360,98,761,0,274434
2026-09-04 12:57:06,"Fri, 04 Sep 2026 12:57:02 GMT",25,356,3.9,25.9,day,137.2,8618,31034,12.01,33,13,9,9,0.41,0.13,0.22,0.546,0.916,249,0.0,0.275,118,258,71,232,0,274235
2026-09-04 12:58:12,"Fri, 04 Sep 2026 12:58:01 GMT",31,70,10.1,11.9,day,105.1,9478,45572,8.39,170,113,29,20,0.29,0.25,0.26,0.816,0.129,255,0.78,0.393,58,682,30,436,0,167372
2026-09-04 12:59:15,"Fri, 04 Sep 2026 12:59:01 GMT",140,2,2.9,19.7,day,114.0,6966,19465,10.38,105,57,47,9,0.25,0.25,0.3,0.236,0.607,253,0.54,0.06,85,425,0,0,0,226767
2026-09-04 13:00:05,"Fri, 04 Sep 2026 13:00:02 GMT",141,2,1.0,17.0,day,165.4,1581,6524,10.65,9,9,3,4,0.75,0.14,0.2,0.081,0.025,255,1.0,0.06,28,66,0,0,0,238577
2026-09-04 13:01:09,"Fri, 04 Sep 2026 13:01:01 GMT",142,2,4.3,25.3,day,151.0,17420,33227,8.43,231,204,52,11,0.4,0.17,0.18,0.438,0.262,255,0.7,0.06,83,1367,0,0,0,200614
2026-09-04 13:01:51,"Fri, 04 Sep 2026 13:01:47 GMT",25,357,4.0,25.8,day,140.9,8054,29908,12.11,70,43,23,6,0.51,0.24,0.34,0.301,0.382,250,0.01,0.396,82,286,63,265,0,276091
2026-09-04 13:02:16,"Fri, 04 Sep 2026 13:02:02 GMT",3,258,3.7,14.5,day,162.8,16252,37976,12.99,132,62,46,20,0.14,0.13,0.15,0.335,0.403,254,0.17,0.302,163,995,123,666,0,269827
2026-09-04 13:02:54,"Fri, 04 Sep 2026 13:02:46 GMT",31,71,4.5,12.0,day,107.6,4291,14331,8.63,45,41,11,10,0.41,0.17,0.19,0.808,0.072,253,0.62,0.483,43,260,39,259,0,174974
2026-09-04 13:03:06,"Fri, 04 Sep 2026 13:03:01 GMT",31,72,3.2,12.2,day,107.6,3625,10910,8.64,50,17,11,13,0.35,0.26,0.34,0.082,0.121,255,0.72,0.394,47,190,51,203,0,175805
2026-09-04 13:04:09,"Fri, 04 Sep 2026 13:04:02 GMT",98,130,4.7,28.4,day,121.4,25085,46855,13.87,565,216,51,46,0.24,0.34,0.35,0.747,0.503,255,0.13,0.351,109,1680,361,1323,0,265889
2026-09-04 13:17:47,"Fri, 04 Sep 2026 13:17:01 GMT",31,73,1.9,13.0,day,110.3,4200,10036,8.81,43,33,11,11,0.36,0.18,0.21,0.762,0.252,254,0.93,0.409,53,238,56,247,0,180565
2026-09-04 13:18:01,"Fri, 04 Sep 2026 13:17:47 GMT",140,3,5.9,14.1,day,116.6,5756,20752,10.98,103,26,21,8,0.61,0.29,0.31,0.088,0.705,251,0.03,0.069,49,359,0,0,0,240268
2026-09-04 13:18:13,"Fri, 04 Sep 2026 13:18:02 GMT",140,4,4.9,14.7,day,119.6,9763,29532,10.62,94,67,43,10,0.22,0.16,0.19,0.729,0.435,254,0.7,0.11,101,582,0,0,0,228221
2026-09-04 13:18:52,"Fri, 04 Sep 2026 13:18:47 GMT",0,336,8.5,9.8,day,163.6,11062,28456,11.5,399,125,74,12,0.45,0.62,0.67,0.664,0.891,253,0.26,0.311,44,639,91,437,0,256952
2026-09-04 13:19:06,"Fri, 04 Sep 2026 13:19:03 GMT",0,337,5.3,10.2,day,163.0,9325,26523,11.37,271,36,62,13,0.34,0.58,0.68,0.742,0.869,253,0.38,0.364,71,466,105,422,0,252100
2026-09-04 13:19:19,"Fri, 04 Sep 2026 13:19:03 GMT",0,338,3.7,10.2,day,163.0,5193,18337,11.37,67,40,25,5,0.54,0.3,0.35,0.768,0.825,253,0.49,0.356,50,226,98,284,0,252100
2026-09-04 13:19:58,"Fri, 04 Sep 2026 13:19:48 GMT",138,3,6.7,7.8,day,173.6,9769,26103,12.08,162,116,51,9,0.35,0.25,0.27,0.729,0.214,254,0.23,0.081,72,658,0,0,0,254758
2026-09-04 13:20:50,"Fri, 04 Sep 2026 13:20:47 GMT",25,358,3.4,26.6,day,134.4,12072,35001,12.06,28,25,12,7,0.33,0.05,0.08,0.178,0.702,253,0.11,0.457,197,546,95,490,0,274448
2026-09-04 13:21:55,"Fri, 04 Sep 2026 13:21:47 GMT",31,74,4.2,12.1,day,111.4,5236,12406,8.37,50,44,10,12,0.42,0.14,0.17,0.047,0.333,253,0.46,0.363,59,347,65,290,0,156272
2026-09-04 13:22:08,"Fri, 04 Sep 2026 13:22:01 GMT",31,75,3.3,12.1,day,111.3,3351,10382,9.18,23,17,7,6,0.55,0.14,0.18,0.337,0.73,136,0.0,0.354,46,170,71,213,0,185766
2026-09-04 13:22:59,"Fri, 04 Sep 2026 13:22:47 GMT",140,5,5.2,13.6,day,114.0,6416,19413,10.9,173,48,38,11,0.41,0.44,0.51,0.171,0.656,249,0.0,0.132,52,391,0,0,0,234135
2026-09-04 13:23:16,"Fri, 04 Sep 2026 13:23:02 GMT",98,131,2.7,28.0,day,121.2,11463,32225,13.71,14,13,7,5,0.4,0.04,0.07,0.844,0.634,180,0.0,0.419,161,356,279,577,0,272027
2026-09-04 13:23:53,"Fri, 04 Sep 2026 13:23:47 GMT",0,339,4.3,9.1,day,162.8,5450,17732,11.04,63,59,27,5,0.47,0.23,0.25,0.468,0.87,253,0.83,0.334,38,280,102,314,0,246874
2026-09-04 13:24:06,"Fri, 04 Sep 2026 13:24:01 GMT",0,340,4.0,8.5,day,161.2,5180,18167,10.99,85,27,32,7,0.38,0.37,0.43,0.397,0.892,253,0.74,0.346,35,232,97,278,0,247585
2026-09-04 13:25:00,"Fri, 04 Sep 2026 13:24:47 GMT",142,3,8.0,15.2,day,163.9,11086,29154,9.15,176,62,35,11,0.46,0.27,0.32,0.447,0.507,255,0.21,0.075,121,659,0,0,0,215561
2026-09-04 13:25:13,"Fri, 04 Sep 2026 13:25:01 GMT",142,4,4.9,15.8,day,161.6,7088,23018,9.05,102,58,19,16,0.34,0.26,0.29,0.926,0.122,255,0.88,0.144,53,400,0,0,0,218450
2026-09-04 13:25:51,"Fri, 04 Sep 2026 13:25:46 GMT",25,359,4.0,25.5,day,137.6,4219,24230,11.69,5,4,4,2,0.62,0.06,0.12,0.6,0.004,210,0.0,0.299,46,78,38,91,0,270822
2026-09-04 13:26:03,"Fri, 04 Sep 2026 13:26:01 GMT",3,259,4.2,16.3,day,164.8,13254,34796,12.77,32,21,15,9,0.24,0.05,0.07,0.736,0.704,253,0.12,0.425,218,632,127,593,0,267014
2026-09-04 13:26:16,"Fri, 04 Sep 2026 13:26:01 GMT",3,260,3.0,16.3,day,164.8,6822,25411,12.77,6,5,6,3,0.33,0.04,0.14,0.724,0.71,234,0.0,0.483,111,161,95,246,0,267014
