utc,last_modified,preset,n,dist,mode,bright,px,blob,blob2,bw,bh,fill,dom,dom2,cx,cy,bpk,bsat,bact,nblobs,blocks,vetoed,veto30,hit,bytes
2026-09-02 00:30:56,"Wed, 02 Sep 2026 00:30:46 GMT",7,142,0.6,night,106.8,31,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,171685
2026-09-02 00:31:08,"Wed, 02 Sep 2026 00:31:01 GMT",7,143,0.5,night,106.7,18,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,171701
2026-09-02 00:31:55,"Wed, 02 Sep 2026 00:31:46 GMT",9,564,13.7,night,77.1,18039,527,45,49,27,0.4,0.56,0.59,0.486,0.487,255,0.16,0.388,61,942,364,1000,0,122792
2026-09-02 00:32:07,"Wed, 02 Sep 2026 00:32:02 GMT",9,565,9.5,night,77.6,11268,232,37,41,19,0.3,0.49,0.54,0.478,0.512,255,0.34,0.457,54,470,348,785,0,136764
2026-09-02 00:32:55,"Wed, 02 Sep 2026 00:32:47 GMT",9,566,16.2,night,86.9,20761,405,270,38,17,0.63,0.39,0.41,0.809,0.857,243,0.0,0.322,61,1036,434,1072,0,161740
2026-09-02 00:33:07,"Wed, 02 Sep 2026 00:33:02 GMT",9,567,15.5,night,85.5,16649,150,108,16,18,0.52,0.2,0.21,0.14,0.606,255,0.46,0.17,80,769,423,945,0,146147
2026-09-02 00:34:07,"Wed, 02 Sep 2026 00:34:02 GMT",10,156,5.8,night,158.2,3619,193,28,9,26,0.82,0.84,0.86,0.039,0.228,255,0.78,0.063,9,230,0,0,1,141855
2026-09-02 00:34:54,"Wed, 02 Sep 2026 00:34:47 GMT",12,146,0.5,night,112.5,39,1,0,1,1,1.0,1.0,0.0,0.188,0.463,255,1.0,0.064,1,1,0,0,0,177067
2026-09-02 00:35:06,"Wed, 02 Sep 2026 00:35:02 GMT",12,147,0.3,night,111.4,23,1,0,1,1,1.0,1.0,0.0,0.188,0.463,122,0.0,0.12,1,1,0,0,0,177352
2026-09-02 00:35:54,"Wed, 02 Sep 2026 00:35:46 GMT",7,144,0.7,night,108.6,2,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,173088
2026-09-02 00:36:06,"Wed, 02 Sep 2026 00:36:02 GMT",9,568,12.6,night,81.6,14456,244,143,39,21,0.3,0.36,0.39,0.169,0.788,228,0.0,0.354,61,682,356,810,0,134260
2026-09-02 00:36:54,"Wed, 02 Sep 2026 00:36:47 GMT",9,569,12.5,night,77.1,15036,276,119,42,19,0.35,0.41,0.46,0.471,0.535,255,0.3,0.429,86,681,416,931,0,136073
2026-09-02 00:37:06,"Wed, 02 Sep 2026 00:37:02 GMT",9,570,8.9,night,77.6,9021,64,40,10,8,0.8,0.21,0.24,0.132,0.617,122,0.0,0.27,56,307,342,598,0,136208
